date,datatype,station,attributes,value
1963-08-01T00:00:00,TAVG,GHCND:USC00342818,",0",28.48
1963-08-01T00:00:00,TMAX,GHCND:USC00342818,",,,0",35.5
1963-08-01T00:00:00,TMIN,GHCND:USC00342818,",,,0",21.46
1963-08-01T00:00:00,TAVG,GHCND:USC00410081,",0",29.41
1963-08-01T00:00:00,TMAX,GHCND:USC00410081,",,,0",37.21
1963-08-01T00:00:00,TMIN,GHCND:USC00410081,",,,0",21.61
1963-08-01T00:00:00,TAVG,GHCND:USC00410120,",0",29.36
1963-08-01T00:00:00,TMAX,GHCND:USC00410120,",,,0",38.32
1963-08-01T00:00:00,TMIN,GHCND:USC00410120,",,,0",20.41
1963-08-01T00:00:00,TAVG,GHCND:USC00410144,",0",30.89
1963-08-01T00:00:00,TMAX,GHCND:USC00410144,",,,0",37.92
1963-08-01T00:00:00,TMIN,GHCND:USC00410144,",,,0",23.86
1963-08-01T00:00:00,TAVG,GHCND:USC00410248,",0",27.45
1963-08-01T00:00:00,TMAX,GHCND:USC00410248,",,,0",34.32
1963-08-01T00:00:00,TMIN,GHCND:USC00410248,",,,0",20.57
1963-08-01T00:00:00,TAVG,GHCND:USC00410257,",0",27.73
1963-08-01T00:00:00,TMAX,GHCND:USC00410257,",,,0",33.66
1963-08-01T00:00:00,TMIN,GHCND:USC00410257,",,,0",21.79
1963-08-01T00:00:00,TAVG,GHCND:USC00410268,",0",30.07
1963-08-01T00:00:00,TMAX,GHCND:USC00410268,",,,0",36.99
1963-08-01T00:00:00,TMIN,GHCND:USC00410268,",,,0",23.15
1963-08-01T00:00:00,TAVG,GHCND:USC00410342,"1,0",29.37
1963-08-01T00:00:00,TMAX,GHCND:USC00410342,"1,,,0",36.66
1963-08-01T00:00:00,TMIN,GHCND:USC00410342,"1,,,0",22.09
1963-08-01T00:00:00,TAVG,GHCND:USC00410394,"1,0",29.36
1963-08-01T00:00:00,TMAX,GHCND:USC00410394,"1,,,0",37.51
1963-08-01T00:00:00,TMIN,GHCND:USC00410394,"1,,,0",21.21
1963-08-01T00:00:00,TAVG,GHCND:USC00410404,",0",30.11
1963-08-01T00:00:00,TMAX,GHCND:USC00410404,",,,0",36.95
1963-08-01T00:00:00,TMIN,GHCND:USC00410404,",,,0",23.26
1963-08-01T00:00:00,TAVG,GHCND:USC00410437,",0",28.82
1963-08-01T00:00:00,TMAX,GHCND:USC00410437,",,,0",33.77
1963-08-01T00:00:00,TMIN,GHCND:USC00410437,",,,0",23.86
1963-08-01T00:00:00,TAVG,GHCND:USC00410493,",0",28.92
1963-08-01T00:00:00,TMAX,GHCND:USC00410493,",,,0",36.02
1963-08-01T00:00:00,TMIN,GHCND:USC00410493,",,,0",21.83
1963-08-01T00:00:00,TAVG,GHCND:USC00410498,",0",26.98
1963-08-01T00:00:00,TMAX,GHCND:USC00410498,",,,0",34.83
1963-08-01T00:00:00,TMIN,GHCND:USC00410498,",,,0",19.13
1963-08-01T00:00:00,TAVG,GHCND:USC00410569,",0",29.02
1963-08-01T00:00:00,TMAX,GHCND:USC00410569,",,,0",34.97
1963-08-01T00:00:00,TMIN,GHCND:USC00410569,",,,0",23.07
1963-08-01T00:00:00,TAVG,GHCND:USC00410586,",0",28.91
1963-08-01T00:00:00,TMAX,GHCND:USC00410586,",,,0",34.09
1963-08-01T00:00:00,TMIN,GHCND:USC00410586,",,,0",23.74
