date,datatype,station,attributes,value
1923-08-01T00:00:00,TAVG,GHCND:USC00296119,"4,6",27.76
1923-08-01T00:00:00,TMAX,GHCND:USC00296119,"4,,,6",33.87
1923-08-01T00:00:00,TMIN,GHCND:USC00296119,"4,,,6",21.66
1923-08-01T00:00:00,TAVG,GHCND:USC00410120,",0",29.89
1923-08-01T00:00:00,TMAX,GHCND:USC00410120,",,,0",37.83
1923-08-01T00:00:00,TMIN,GHCND:USC00410120,",,,0",21.94
1923-08-01T00:00:00,TAVG,GHCND:USC00410144,",0",30.13
1923-08-01T00:00:00,TMAX,GHCND:USC00410144,",,,0",36.78
1923-08-01T00:00:00,TMIN,GHCND:USC00410144,",,,0",23.47
1923-08-01T00:00:00,TAVG,GHCND:USC00410257,",0",27.83
1923-08-01T00:00:00,TMAX,GHCND:USC00410257,",,,0",33.51
1923-08-01T00:00:00,TMIN,GHCND:USC00410257,",,,0",22.15
1923-08-01T00:00:00,TAVG,GHCND:USC00410420,",6",30.59
1923-08-01T00:00:00,TMAX,GHCND:USC00410420,",,,6",39.47
1923-08-01T00:00:00,TMIN,GHCND:USC00410420,",,,6",21.71
1923-08-01T00:00:00,TAVG,GHCND:USC00410493,",0",29.26
1923-08-01T00:00:00,TMAX,GHCND:USC00410493,",,,0",37.03
1923-08-01T00:00:00,TMIN,GHCND:USC00410493,",,,0",21.5
1923-08-01T00:00:00,TAVG,GHCND:USC00410611,",0",28.36
1923-08-01T00:00:00,TMAX,GHCND:USC00410611,",,,0",33.78
1923-08-01T00:00:00,TMIN,GHCND:USC00410611,",,,0",22.94
1923-08-01T00:00:00,TAVG,GHCND:USC00410639,",0",29.39
1923-08-01T00:00:00,TMAX,GHCND:USC00410639,",,,0",35.6
1923-08-01T00:00:00,TMIN,GHCND:USC00410639,",,,0",23.19
1923-08-01T00:00:00,TAVG,GHCND:USC00410832,",0",29.1
1923-08-01T00:00:00,TMAX,GHCND:USC00410832,",,,0",36.96
1923-08-01T00:00:00,TMIN,GHCND:USC00410832,",,,0",21.24
1923-08-01T00:00:00,TAVG,GHCND:USC00410902,",0",27.6
1923-08-01T00:00:00,TMAX,GHCND:USC00410902,",,,0",35.12
1923-08-01T00:00:00,TMIN,GHCND:USC00410902,",,,0",20.07
1923-08-01T00:00:00,TAVG,GHCND:USC00410923,",0",29.45
1923-08-01T00:00:00,TMAX,GHCND:USC00410923,",,,0",36.73
1923-08-01T00:00:00,TMIN,GHCND:USC00410923,",,,0",22.18
1923-08-01T00:00:00,TAVG,GHCND:USC00410984,",0",29.62
1923-08-01T00:00:00,TMAX,GHCND:USC00410984,",,,0",37.37
1923-08-01T00:00:00,TMIN,GHCND:USC00410984,",,,0",21.87
1923-08-01T00:00:00,TAVG,GHCND:USC00411007,",0",28.94
1923-08-01T00:00:00,TMAX,GHCND:USC00411007,",,,0",35.53
1923-08-01T00:00:00,TMIN,GHCND:USC00411007,",,,0",22.35
1923-08-01T00:00:00,TAVG,GHCND:USC00411034,",0",27.55
1923-08-01T00:00:00,TMAX,GHCND:USC00411034,",,,0",32.31
1923-08-01T00:00:00,TMIN,GHCND:USC00411034,",,,0",22.79
1923-08-01T00:00:00,TAVG,GHCND:USC00411042,",0",29.77
1923-08-01T00:00:00,TMAX,GHCND:USC00411042,",,,0",35.11
1923-08-01T00:00:00,TMIN,GHCND:USC00411042,",,,0",24.44
1923-08-01T00:00:00,TAVG,GHCND:USC00411048,",0",29.08
1923-08-01T00:00:00,TMAX,GHCND:USC00411048,",,,0",35.33
1923-08-01T00:00:00,TMIN,GHCND:USC00411048,",,,0",22.82
1923-08-01T00:00:00,TAVG,GHCND:USC00411138,"1,6",29.04
1923-08-01T00:00:00,TMAX,GHCND:USC00411138,"1,,,6",37.17
1923-08-01T00:00:00,TMIN,GHCND:USC00411138,",,,6",20.9
1923-08-01T00:00:00,TAVG,GHCND:USC00411250,",0",31.25
1923-08-01T00:00:00,TMAX,GHCND:USC00411250,",,,0",40.07
1923-08-01T00:00:00,TMIN,GHCND:USC00411250,",,,0",22.42
1923-08-01T00:00:00,TAVG,GHCND:USC00411412,",0",27.5
1923-08-01T00:00:00,TMAX,GHCND:USC00411412,",,,0",35.67
1923-08-01T00:00:00,TMIN,GHCND:USC00411412,",,,0",19.34
1923-08-01T00:00:00,TAVG,GHCND:USC00411772,",0",29.85
1923-08-01T00:00:00,TMAX,GHCND:USC00411772,",,,0",37.56
1923-08-01T00:00:00,TMIN,GHCND:USC00411772,",,,0",22.13
1923-08-01T00:00:00,TAVG,GHCND:USC00411800,",0",30.06
1923-08-01T00:00:00,TMAX,GHCND:USC00411800,",,,0",37.47
1923-08-01T00:00:00,TMIN,GHCND:USC00411800,",,,0",22.65
1923-08-01T00:00:00,TAVG,GHCND:USC00411875,",0",28.91
1923-08-01T00:00:00,TMAX,GHCND:USC00411875,",,,0",37.05
1923-08-01T00:00:00,TMIN,GHCND:USC00411875,",,,0",20.77
1923-08-01T00:00:00,TAVG,GHCND:USC00411888,",0",28.03
1923-08-01T00:00:00,TMAX,GHCND:USC00411888,",,,0",35.34
1923-08-01T00:00:00,TMIN,GHCND:USC00411888,",,,0",20.73
1923-08-01T00:00:00,TAVG,GHCND:USC00411956,"1,6",29.14
1923-08-01T00:00:00,TMAX,GHCND:USC00411956,",,,6",35.53
1923-08-01T00:00:00,TMIN,GHCND:USC00411956,"1,,,6",22.75
1923-08-01T00:00:00,TAVG,GHCND:USC00412019,",0",29.23
1923-08-01T00:00:00,TMAX,GHCND:USC00412019,",,,0",34.6
1923-08-01T00:00:00,TMIN,GHCND:USC00412019,",,,0",23.86
1923-08-01T00:00:00,TAVG,GHCND:USC00412121,",0",26.72
1923-08-01T00:00:00,TMAX,GHCND:USC00412121,",,,0",34.32
1923-08-01T00:00:00,TMIN,GHCND:USC00412121,",,,0",19.11
1923-08-01T00:00:00,TAVG,GHCND:USC00412173,",0",30.02
1923-08-01T00:00:00,TMAX,GHCND:USC00412173,",,,0",36.1
1923-08-01T00:00:00,TMIN,GHCND:USC00412173,",,,0",23.94
1923-08-01T00:00:00,TAVG,GHCND:USC00412239,",0",24.21
1923-08-01T00:00:00,TMAX,GHCND:USC00412239,",,,0",31.79
1923-08-01T00:00:00,TMIN,GHCND:USC00412239,",,,0",16.62
1923-08-01T00:00:00,TAVG,GHCND:USC00412266,",0",28.85
1923-08-01T00:00:00,TMAX,GHCND:USC00412266,",,,0",34.73
1923-08-01T00:00:00,TMIN,GHCND:USC00412266,",,,0",22.96
1923-08-01T00:00:00,TAVG,GHCND:USC00412444,",0",29.14
1923-08-01T00:00:00,TMAX,GHCND:USC00412444,",,,0",36.38
1923-08-01T00:00:00,TMIN,GHCND:USC00412444,",,,0",21.9
1923-08-01T00:00:00,TAVG,GHCND:USC00412458,",0",29.95
1923-08-01T00:00:00,TMAX,GHCND:USC00412458,",,,0",37.35
1923-08-01T00:00:00,TMIN,GHCND:USC00412458,",,,0",22.55
1923-08-01T00:00:00,TAVG,GHCND:USC00412598,",0",29.23
1923-08-01T00:00:00,TMAX,GHCND:USC00412598,",,,0",36.63
1923-08-01T00:00:00,TMIN,GHCND:USC00412598,",,,0",21.83
1923-08-01T00:00:00,TAVG,GHCND:USC00412679,",0",30.47
1923-08-01T00:00:00,TMAX,GHCND:USC00412679,",,,0",37.15
1923-08-01T00:00:00,TMIN,GHCND:USC00412679,",,,0",23.79
1923-08-01T00:00:00,TAVG,GHCND:USC00412715,",0",28.1
1923-08-01T00:00:00,TMAX,GHCND:USC00412715,",,,0",35.32
1923-08-01T00:00:00,TMIN,GHCND:USC00412715,",,,0",20.87
1923-08-01T00:00:00,TAVG,GHCND:USC00412906,"2,0",31.14
1923-08-01T00:00:00,TMAX,GHCND:USC00412906,"1,,,0",39.38
1923-08-01T00:00:00,TMIN,GHCND:USC00412906,"1,,,0",22.91
1923-08-01T00:00:00,TAVG,GHCND:USC00413063,",0",31.58
1923-08-01T00:00:00,TMAX,GHCND:USC00413063,",,,0",39.88
1923-08-01T00:00:00,TMIN,GHCND:USC00413063,",,,0",23.27
1923-08-01T00:00:00,TAVG,GHCND:USC00413183,",0",29.71
1923-08-01T00:00:00,TMAX,GHCND:USC00413183,",,,0",36.41
1923-08-01T00:00:00,TMIN,GHCND:USC00413183,",,,0",23.01
1923-08-01T00:00:00,TAVG,GHCND:USC00413192,",0",29.85
1923-08-01T00:00:00,TMAX,GHCND:USC00413192,",,,0",35.98
1923-08-01T00:00:00,TMIN,GHCND:USC00413192,",,,0",23.71
1923-08-01T00:00:00,TMAX,GHCND:USC00413267,",,,0",38.77
1923-08-01T00:00:00,TAVG,GHCND:USC00413277,",0",27.64
1923-08-01T00:00:00,TMAX,GHCND:USC00413277,",,,0",35.97
1923-08-01T00:00:00,TMIN,GHCND:USC00413277,",,,0",19.3
1923-08-01T00:00:00,TAVG,GHCND:USC00413415,",0",28.78
1923-08-01T00:00:00,TMAX,GHCND:USC00413415,",,,0",37.78
1923-08-01T00:00:00,TMIN,GHCND:USC00413415,",,,0",19.78
1923-08-01T00:00:00,TAVG,GHCND:USC00413506,",0",29.88
1923-08-01T00:00:00,TMAX,GHCND:USC00413506,",,,0",37.48
1923-08-01T00:00:00,TMIN,GHCND:USC00413506,",,,0",22.28
1923-08-01T00:00:00,TAVG,GHCND:USC00413734,",0",30.44
1923-08-01T00:00:00,TMAX,GHCND:USC00413734,",,,0",37.25
1923-08-01T00:00:00,TMIN,GHCND:USC00413734,",,,0",23.62
1923-08-01T00:00:00,TAVG,GHCND:USC00413873,",0",29.63
1923-08-01T00:00:00,TMAX,GHCND:USC00413873,",,,0",36.94
1923-08-01T00:00:00,TMIN,GHCND:USC00413873,",,,0",22.32
1923-08-01T00:00:00,TAVG,GHCND:USC00413943,",0",28.54
1923-08-01T00:00:00,TMAX,GHCND:USC00413943,",,,0",35.36
1923-08-01T00:00:00,TMIN,GHCND:USC00413943,",,,0",21.73
1923-08-01T00:00:00,TAVG,GHCND:USC00413992,"1,0",28.81
1923-08-01T00:00:00,TMAX,GHCND:USC00413992,"1,,,0",35.7
1923-08-01T00:00:00,TMIN,GHCND:USC00413992,",,,0",21.93
1923-08-01T00:00:00,TAVG,GHCND:USC00414093,"2,0",31.11
1923-08-01T00:00:00,TMAX,GHCND:USC00414093,"1,,,0",39.38
1923-08-01T00:00:00,TMIN,GHCND:USC00414093,"1,,,0",22.84
1923-08-01T00:00:00,TAVG,GHCND:USC00414137,",0",29.47
1923-08-01T00:00:00,TMAX,GHCND:USC00414137,",,,0",37.08
1923-08-01T00:00:00,TMIN,GHCND:USC00414137,",,,0",21.85
1923-08-01T00:00:00,TAVG,GHCND:USC00414182,",0",30.12
